raw_locality_normalized,standard_locality_normalized,standard_locality_display,method,confidence,n_listings,flag_for_manual_review
banashankari 6th stage,banashankari 6th stage,Banashankari 6th Stage,unique,100.0,1,False
banashankari 6th stage subramanyapura,banashankari 6th stage subramanyapura,"Banashankari 6th Stage ,Subramanyapura",unique,100.0,1,False
banashankari 6th stage 2nd block,banashankari 6th stage 2nd block,"Banashankari 6th stage , 2nd block",unique,100.0,1,False
banashankari stage i,banashankari stage i,Banashankari Stage I,unique,100.0,1,False
banashankari stage ii,banashankari stage ii,Banashankari Stage II,unique,100.0,16,False
banashankari stage iii,banashankari stage iii,Banashankari Stage III,unique,100.0,25,False
banashankari stage v,banashankari stage v,Banashankari Stage V,unique,100.0,12,False
banashankari stage vi,banashankari stage vi,Banashankari Stage VI,unique,100.0,16,False
banashankari stage 2,banashankari stage 2,Banashankari stage 2,unique,100.0,1,False
banashankari3rd stage bigbazar,banashankari3rd stage bigbazar,Banashankari3rd stage bigbazar,unique,100.0,1,False
banaswadi,banaswadi,Banaswadi,unique,100.0,18,False
bande nallasandra,bande nallasandra,Bande Nallasandra,unique,100.0,1,False
bandepalya,bandepalya,Bandepalya,unique,100.0,1,False
banjara layout,banjara layout,Banjara Layout,unique,100.0,11,False
bank avenue,bank avenue,Bank Avenue,unique,100.0,1,False
bank of baroda colony,bank of baroda colony,Bank Of Baroda Colony,unique,100.0,7,False
bannerghatta,bannerghatta,Bannerghatta,unique,100.0,18,False
bannerghatta road,bannerghatta road,Bannerghatta Road,unique,100.0,149,False
bapuji layout,bapuji layout,Bapuji Layout,unique,100.0,1,False
bapuji nagar,bapuji nagar,Bapuji Nagar,unique,100.0,1,False
basapura,basapura,Basapura,unique,100.0,9,False
basava nagar,basava nagar,Basava Nagar,unique,100.0,3,False
basavanagara,basavanagara,Basavanagara,unique,100.0,5,False
basavanapura,basavanapura,Basavanapura,unique,100.0,8,False
basavangudi,basavangudi,Basavangudi,unique,100.0,31,False
basavanna nagar,basavanna nagar,Basavanna Nagar,unique,100.0,4,False
basaveshwara nagar,basaveshwara nagar,Basaveshwara Nagar,unique,100.0,21,False
basaveshwara nagar yelahanka,basaveshwara nagar yelahanka,Basaveshwara Nagar Yelahanka,unique,100.0,7,False
basaveswarnagar,basaveswarnagar,Basaveswarnagar,unique,100.0,1,False
basnashankari 6th stage,basnashankari 6th stage,"Basnashankari,6th stage,",unique,100.0,1,False
basvasamithi layout vidyaranyapura,basvasamithi layout vidyaranyapura,Basvasamithi Layout Vidyaranyapura,unique,100.0,1,False
battarahalli,battarahalli,Battarahalli,unique,100.0,24,False
begur,begur,Begur,unique,100.0,16,False
begur road,begur road,Begur Road,unique,100.0,74,False
behind don bosco church,behind don bosco church,Behind Don Bosco Church,unique,100.0,1,False
belathur,belathur,Belathur,unique,100.0,5,False
belatur,belatur,Belatur,unique,100.0,3,False
bellandur,bellandur,Bellandur,unique,100.0,94,False
bellari road,bellari road,Bellari Road,unique,100.0,5,False
beml layout rajarajeshwari nagar,beml layout rajarajeshwari nagar,"Beml layout, Rajarajeshwari nagar",unique,100.0,1,False
bendiganahalli,bendiganahalli,Bendiganahalli,unique,100.0,2,False
bennigana halli,bennigana halli,Bennigana Halli,unique,100.0,1,False
benson town,benson town,Benson Town,unique,100.0,15,False
bethel nagar,bethel nagar,Bethel Nagar,unique,100.0,3,False
bettadasanapura,bettadasanapura,Bettadasanapura,unique,100.0,1,False
bettahalsoor,bettahalsoor,Bettahalsoor,unique,100.0,3,False
bhagyalakshmi avenue,bhagyalakshmi avenue,Bhagyalakshmi Avenue,unique,100.0,3,False
bharat nagar,bharat nagar,Bharat Nagar,unique,100.0,1,False
bharath housing society layout,bharath housing society layout,Bharath Housing Society Layout,unique,100.0,1,False
bharathi nagar,bharathi nagar,Bharathi Nagar,unique,100.0,12,False
bharathnagar,bharathnagar,Bharathnagar,unique,100.0,1,False
bhattarahalli,bhattarahalli,Bhattarahalli,unique,100.0,1,False
bhoganhalli,bhoganhalli,Bhoganhalli,unique,100.0,43,False
bhoopsandra,bhoopsandra,Bhoopsandra,unique,100.0,2,False
bhuvaneshwari nagar,bhuvaneshwari nagar,Bhuvaneshwari Nagar,unique,100.0,6,False
bhuvaneswari nagar,bhuvaneswari nagar,Bhuvaneswari Nagar,unique,100.0,3,False
bidadi,bidadi,Bidadi,unique,100.0,3,False
bidere agarahara behind safal market,bidere agarahara behind safal market,"Bidere Agarahara, Behind Safal market",unique,100.0,1,False
bidrahalli,bidrahalli,Bidrahalli,unique,100.0,2,False
bikasipura,bikasipura,Bikasipura,unique,100.0,4,False
bilal nagar,bilal nagar,Bilal Nagar,unique,100.0,1,False
bileshivale,bileshivale,Bileshivale,unique,100.0,6,False
billamaranahalli,billamaranahalli,Billamaranahalli,unique,100.0,2,False
billapura,billapura,Billapura,unique,100.0,1,False
billekahalli,billekahalli,Billekahalli,unique,100.0,18,False
binnamangala,binnamangala,Binnamangala,unique,100.0,1,False
binny mills employees colony,binny mills employees colony,Binny Mills Employees Colony,unique,100.0,1,False
binny pete,binny pete,Binny Pete,unique,100.0,20,False
bisuvanahalli,bisuvanahalli,Bisuvanahalli,unique,100.0,42,False
bommanahalli,bommanahalli,Bommanahalli,unique,100.0,35,False
bommasandra,bommasandra,Bommasandra,unique,100.0,37,False
bommasandra industrial area,bommasandra industrial area,Bommasandra Industrial Area,unique,100.0,26,False
bommenahalli,bommenahalli,Bommenahalli,unique,100.0,13,False
brigade road,brigade road,Brigade Road,unique,100.0,1,False
brindavan layout,brindavan layout,Brindavan Layout,unique,100.0,2,False
brindavan nagar,brindavan nagar,Brindavan Nagar,unique,100.0,3,False
brooke bond first cross,brooke bond first cross,Brooke Bond First Cross,unique,100.0,4,False
brookefield,brookefield,Brookefield,unique,100.0,47,False
budigere,budigere,Budigere,unique,100.0,47,False
bull temple road,bull temple road,Bull Temple Road,unique,100.0,1,False
byadarahalli,byadarahalli,Byadarahalli,unique,100.0,8,False
byagadadhenahalli,byagadadhenahalli,Byagadadhenahalli,unique,100.0,5,False
byappanahalli,byappanahalli,Byappanahalli,unique,100.0,1,False
byatarayanapura,byatarayanapura,Byatarayanapura,unique,100.0,7,False
byrasandra,byrasandra,Byrasandra,unique,100.0,7,False
byrasandra extension,byrasandra extension,Byrasandra Extension,unique,100.0,1,False
byrathi village,byrathi village,Byrathi Village,unique,100.0,6,False
cmh road,cmh road,CMH Road,unique,100.0,1,False
cqal layout c block,cqal layout c block,CQAL LAYOUT C BLOCK,unique,100.0,1,False
cqal layout,cqal layout,CQAL Layout,unique,100.0,2,False
cr layout,cr layout,CR Layout,unique,100.0,1,False
cv raman nagar,cv raman nagar,CV Raman Nagar,unique,100.0,42,False
cambridge road,cambridge road,Cambridge  road,unique,100.0,1,False
cambridge layout,cambridge layout,Cambridge Layout,unique,100.0,8,False
canara bank colony,canara bank colony,Canara Bank Colony,unique,100.0,7,False
canara bank layout,canara bank layout,Canara Bank Layout,unique,100.0,3,False
carmelaram,carmelaram,Carmelaram,unique,100.0,5,False
celebrity paradise layout,celebrity paradise layout,Celebrity Paradise Layout,unique,100.0,2,False
chaitanya ananya,chaitanya ananya,Chaitanya Ananya,unique,100.0,1,False
challaghatta,challaghatta,Challaghatta,unique,100.0,2,False
chambenahalli,chambenahalli,Chambenahalli,unique,100.0,1,False
chamrajpet,chamrajpet,Chamrajpet,unique,100.0,15,False
chamundi nagar,chamundi nagar,Chamundi Nagar,unique,100.0,2,False
chandapura,chandapura,Chandapura,unique,100.0,82,False
chandra layout,chandra layout,Chandra Layout,unique,100.0,8,False
channasandra,channasandra,Channasandra,unique,100.0,38,False
channasandra layout,channasandra layout,Channasandra Layout,unique,100.0,7,False
chelekare,chelekare,Chelekare,unique,100.0,6,False
chellikere,chellikere,Chellikere,unique,100.0,1,False
chennammana kere,chennammana kere,Chennammana Kere,unique,100.0,9,False
chennammanakere achukattu,chennammanakere achukattu,Chennammanakere Achukattu,unique,100.0,2,False
chennappa layout,chennappa layout,Chennappa Layout,unique,100.0,4,False
chickpet,chickpet,Chickpet,unique,100.0,1,False
chikbasavanapura,chikbasavanapura,Chikbasavanapura,unique,100.0,1,False
chikka banaswadi,chikka banaswadi,Chikka Banaswadi,unique,100.0,3,False
chikka gowdanapalya,chikka gowdanapalya,Chikka Gowdanapalya.,unique,100.0,1,False
chikka tirupathi,chikka tirupathi,Chikka Tirupathi,unique,100.0,16,False
chikkatirupathi,chikka tirupathi,Chikka Tirupathi,whitespace_normalization,100.0,1,False
chikkaballapur,chikkaballapur,Chikkaballapur,unique,100.0,1,False
chikkabanavar,chikkabanavar,Chikkabanavar,unique,100.0,13,False
chikkabettahalli,chikkabettahalli,Chikkabettahalli,unique,100.0,1,False
chikkabidarakallu,chikkabidarakallu,Chikkabidarakallu,unique,100.0,1,False
chikkadunnasandra,chikkadunnasandra,Chikkadunnasandra,unique,100.0,5,False
chikkagubbi,chikkagubbi,Chikkagubbi,unique,100.0,1,False
chikkajala,chikkajala,Chikkajala,unique,100.0,1,False
chikkakannalli,chikkakannalli,Chikkakannalli,unique,100.0,2,False
chikkalasandra,chikkalasandra,Chikkalasandra,unique,100.0,29,False
chikkanahalli,chikkanahalli,Chikkanahalli,unique,100.0,1,False
chikkasandra,chikkasandra,Chikkasandra,unique,100.0,4,False
chikkathoguru,chikkathoguru,Chikkathoguru,unique,100.0,4,False
chikku lakshmaiah layout,chikku lakshmaiah layout,Chikku Lakshmaiah Layout,unique,100.0,2,False
chinnapanahalli,chinnapanahalli,Chinnapanahalli,unique,100.0,4,False
chokkahalli,chokkahalli,Chokkahalli,unique,100.0,1,False
chokkanahalli,chokkanahalli,Chokkanahalli,unique,100.0,2,False
chokkasandra,chokkasandra,Chokkasandra,unique,100.0,1,False
cholanayakanahalli,cholanayakanahalli,Cholanayakanahalli,unique,100.0,7,False
choodasandra,choodasandra,Choodasandra,unique,100.0,21,False
chowdeshwari layout,chowdeshwari layout,Chowdeshwari Layout,unique,100.0,1,False
chuchangatta colony,chuchangatta colony,Chuchangatta Colony,unique,100.0,1,False
church street,church street,Church Street,unique,100.0,2,False
ckikkakammana halli,ckikkakammana halli,Ckikkakammana Halli,unique,100.0,1,False
classic paradise layout,classic paradise layout,Classic Paradise Layout,unique,100.0,2,False
cleveland town,cleveland town,Cleveland Town,unique,100.0,2,False
coconut garden,coconut garden,Coconut Garden,unique,100.0,2,False
coconut grove layout,coconut grove layout,Coconut Grove Layout,unique,100.0,5,False
coffee board layout,coffee board layout,Coffee Board Layout,unique,100.0,3,False
cooke town,cooke town,Cooke Town,unique,100.0,16,False
cooketown,cooke town,Cooke Town,whitespace_normalization,100.0,2,False
cottonpet,cottonpet,Cottonpet,unique,100.0,5,False
cox town,cox town,Cox Town,unique,100.0,12,False
craig park layout,craig park layout,Craig Park Layout,unique,100.0,1,False
crimson layout,crimson layout,Crimson Layout,unique,100.0,3,False
cubbon road,cubbon road,Cubbon Road,unique,100.0,1,False
cunningham road,cunningham road,Cunningham Road,unique,100.0,13,False
d group employees layout,d group employees layout,D Group Employees Layout,unique,100.0,3,False
d souza layout,d souza layout,D Souza Layout,unique,100.0,1,False
duo layout,duo layout,DUO Layout,unique,100.0,1,False
daadys gaarden layout,daadys gaarden layout,Daadys Gaarden Layout,unique,100.0,3,False
dairy circle,dairy circle,Dairy Circle,unique,100.0,10,False
dasanapura,dasanapura,Dasanapura,unique,100.0,16,False
dasappa layout,dasappa layout,Dasappa Layout,unique,100.0,3,False
dasarahalli,dasarahalli,Dasarahalli,unique,100.0,17,False
deepanjali nagar,deepanjali nagar,Deepanjali Nagar,unique,100.0,1,False
defence colony,defence colony,Defence Colony,unique,100.0,7,False
defence layout,defence layout,Defence Layout,unique,100.0,1,False
dena bank colony,dena bank colony,Dena Bank Colony,unique,100.0,2,False
devanahalli,devanahalli,Devanahalli,unique,100.0,45,False
devanahalli int airport,devanahalli int airport,Devanahalli Int. Airport,unique,100.0,3,False
devanahalli road,devanahalli road,Devanahalli Road,unique,100.0,2,False
devara jeevanahalli,devara jeevanahalli,Devara Jeevanahalli,unique,100.0,3,False
devarabeesana halli,devarabeesana halli,Devarabeesana Halli,unique,100.0,7,False
devarabisanahalli,devarabisanahalli,Devarabisanahalli,unique,100.0,1,False
devarachikkanahalli,devarachikkanahalli,Devarachikkanahalli,unique,100.0,17,False
devasandra extension,devasandra extension,Devasandra Extension,unique,100.0,2,False
devasthanagalu,devasthanagalu,Devasthanagalu,unique,100.0,6,False
devi nagar,devi nagar,Devi Nagar,unique,100.0,5,False
dhanalakshmi layout,dhanalakshmi layout,Dhanalakshmi Layout,unique,100.0,1,False
dinnur,dinnur,Dinnur,unique,100.0,3,False
divya unnathi layout,divya unnathi layout,Divya Unnathi Layout,unique,100.0,4,False
doctor layout rayasandra,doctor layout rayasandra,Doctor Layout Rayasandra,unique,100.0,1,False
doctors layout,doctors layout,Doctors Layout,unique,100.0,7,False
dodda banaswadi,dodda banaswadi,Dodda Banaswadi,unique,100.0,6,False
dodda kempaiah layout,dodda kempaiah layout,Dodda Kempaiah Layout,unique,100.0,2,False
dodda nekkundi,dodda nekkundi,Dodda Nekkundi,unique,100.0,29,False
dodda nekkundi extension,dodda nekkundi extension,Dodda Nekkundi Extension,unique,100.0,8,False
doddaballapur,doddaballapur,Doddaballapur,unique,100.0,12,False
doddabanahalli,doddabanahalli,Doddabanahalli,unique,100.0,5,False
doddabele,doddabele,Doddabele,unique,100.0,1,False
doddabidrakallu,doddabidrakallu,Doddabidrakallu,unique,100.0,2,False
doddabommasandra,doddabommasandra,Doddabommasandra,unique,100.0,7,False
doddagubbi,doddagubbi,Doddagubbi,unique,100.0,4,False
doddakallasandra,doddakallasandra,Doddakallasandra,unique,100.0,11,False
doddakammanahalli,doddakammanahalli,Doddakammanahalli,unique,100.0,7,False
doddakannelli,doddakannelli,Doddakannelli,unique,100.0,6,False
doddanakundi industrial area 2,doddanakundi industrial area 2,Doddanakundi Industrial Area 2,unique,100.0,6,False
doddanakunte,doddanakunte,Doddanakunte,unique,100.0,1,False
doddanekundi,doddanekundi,Doddanekundi,unique,100.0,6,False
doddathoguru,doddathoguru,Doddathoguru,unique,100.0,29,False
dodsworth layout,dodsworth layout,Dodsworth Layout,unique,100.0,10,False
dollar scheme colony,dollar scheme colony,Dollar Scheme Colony,unique,100.0,2,False
dollars colony,dollars colony,Dollars Colony,unique,100.0,8,False
dollars layout,dollars layout,Dollars Layout,unique,100.0,3,False
dominic layout,dominic layout,Dominic Layout,unique,100.0,1,False
domlur,domlur,Domlur,unique,100.0,22,False
domlur layout,domlur layout,Domlur Layout,unique,100.0,3,False
dommasandra,dommasandra,Dommasandra,unique,100.0,13,False
doopanahalli,doopanahalli,Doopanahalli,unique,100.0,5,False
dooravani nagar,dooravani nagar,Dooravani Nagar,unique,100.0,4,False
double road,double road,Double Road,unique,100.0,1,False
dr shivarama karantha nagar,dr shivarama karantha nagar,Dr Shivarama Karantha Nagar,unique,100.0,2,False
duddanahalli,duddanahalli,Duddanahalli,unique,100.0,1,False
duvasapalya,duvasapalya,Duvasapalya,unique,100.0,1,False
dwaraka nagar,dwaraka nagar,Dwaraka Nagar,unique,100.0,1,False
dwarka nagar,dwarka nagar,Dwarka Nagar,unique,100.0,2,False
ecc road whitefield,ecc road whitefield,"ECC Road, Whitefield,",unique,100.0,2,False
epip area whitefield,epip area whitefield,"EPIP AREA, WHITEFIELD",unique,100.0,1,False
epip zone,epip zone,EPIP Zone,unique,100.0,23,False
ejipura,ejipura,Ejipura,unique,100.0,9,False
electronic city,electronic city,Electronic City,unique,100.0,289,False
electronic city phase ii,electronic city phase ii,Electronic City Phase II,unique,100.0,128,False
electronic city phase 1,electronic city phase 1,"Electronic city Phase 1,",unique,100.0,4,False
electronics city phase 1,electronics city phase 1,Electronics City Phase 1,unique,100.0,88,False
escorts colony,escorts colony,Escorts Colony,unique,100.0,1,False
esther enclave layout,esther enclave layout,Esther Enclave Layout,unique,100.0,3,False
ex servicemen colony dinnur main road r t nagar,ex servicemen colony dinnur main road r t nagar,Ex-Servicemen Colony Dinnur Main Road R.T.Nagar,unique,100.0,1,False
ferrar nagar,ferrar nagar,Ferrar Nagar,unique,100.0,3,False
fraser town,fraser town,Fraser town,unique,100.0,1,False
frazer town,frazer town,Frazer Town,unique,100.0,36,False
frazertown,frazer town,Frazer Town,whitespace_normalization,100.0,2,False
friends colony,friends colony,Friends Colony,unique,100.0,2,False
gb palya,gb palya,GB Palya,unique,100.0,1,False
gd layout,gd layout,GD Layout,unique,100.0,2,False
gkw layout,gkw layout,GKW Layout,unique,100.0,1,False
gm palaya,gm palaya,GM Palaya,unique,100.0,12,False
gandhi bazar,gandhi bazar,Gandhi Bazar,unique,100.0,2,False
gandhi nagar,gandhi nagar,Gandhi Nagar,unique,100.0,1,False
ganesha block,ganesha block,Ganesha Block,unique,100.0,2,False
ganga nagar,ganga nagar,Ganga Nagar,unique,100.0,10,False
ganga nagar extension,ganga nagar extension,Ganga Nagar Extension,unique,100.0,1,False
ganganahalli,ganganahalli,Ganganahalli,unique,100.0,1,False
gangondanahalli,gangondanahalli,Gangondanahalli,unique,100.0,1,False
garden layout,garden layout,Garden Layout,unique,100.0,1,False
garebhavipalya,garebhavipalya,Garebhavipalya,unique,100.0,2,False
garudachar palya,garudachar palya,Garudachar Palya,unique,100.0,17,False
gattahalli,gattahalli,Gattahalli,unique,100.0,3,False
gattigere,gattigere,Gattigere,unique,100.0,2,False
gaundanapalya,gaundanapalya,Gaundanapalya,unique,100.0,1,False
gaurava nagar,gaurava nagar,Gaurava Nagar,unique,100.0,2,False
gayathri nagar,gayathri nagar,Gayathri Nagar,unique,100.0,1,False
geddalahalli,geddalahalli,Geddalahalli,unique,100.0,4,False
geetanjali layout,geetanjali layout,Geetanjali Layout,unique,100.0,1,False
geleyara balaga layout,geleyara balaga layout,Geleyara Balaga Layout,unique,100.0,2,False
gidada konnenahalli,gidada konnenahalli,Gidada Konnenahalli,unique,100.0,2,False
giri nagar,giri nagar,Giri Nagar,unique,100.0,14,False
gkvk layout,gkvk layout,Gkvk Layout,unique,100.0,3,False
glass factory layout,glass factory layout,Glass Factory Layout,unique,100.0,4,False
gnana bharathi,gnana bharathi,Gnana Bharathi,unique,100.0,2,False
gokaula extension,gokaula extension,Gokaula Extension,unique,100.0,1,False
gokula extension,gokula extension,Gokula Extension,unique,100.0,3,False
gollahalli,gollahalli,Gollahalli,unique,100.0,9,False
gollarahatti,gollarahatti,Gollarahatti,unique,100.0,1,False
gollarapalya hosahalli,gollarapalya hosahalli,Gollarapalya Hosahalli,unique,100.0,12,False
gopal reddy layout,gopal reddy layout,Gopal Reddy Layout,unique,100.0,1,False
gopalapura,gopalapura,Gopalapura,unique,100.0,6,False
gopalkrishna nagar,gopalkrishna nagar,Gopalkrishna Nagar,unique,100.0,8,False
goraguntepalya,goraguntepalya,Goraguntepalya,unique,100.0,1,False
gottigere,gottigere,Gottigere,unique,100.0,48,False
govindapura,govindapura,Govindapura,unique,100.0,3,False
govindaraja nagar ward,govindaraja nagar ward,Govindaraja Nagar Ward,unique,100.0,2,False
govindpura,govindpura,Govindpura,unique,100.0,5,False
govindraja nagar,govindraja nagar,Govindraja Nagar,unique,100.0,1,False
gowdanapalya,gowdanapalya,Gowdanapalya,unique,100.0,4,False
green domain layout,green domain layout,Green Domain Layout,unique,100.0,2,False
green garden layout,green garden layout,Green Garden Layout,unique,100.0,2,False
green glen layout,green glen layout,Green Glen Layout,unique,100.0,39,False
green view layout,green view layout,Green View Layout,unique,100.0,7,False
green woods layout,green woods layout,Green Woods Layout,unique,100.0,2,False
grihalakshmi layout,grihalakshmi layout,Grihalakshmi Layout,unique,100.0,1,False
gubbalala,gubbalala,Gubbalala,unique,100.0,26,False
gubbi cross hennur main road,gubbi cross hennur main road,"Gubbi Cross, Hennur Main Road",unique,100.0,1,False
guddadahalli,guddadahalli,Guddadahalli,unique,100.0,2,False
gulakamale,gulakamale,Gulakamale,unique,100.0,1,False
gulimangala,gulimangala,Gulimangala,unique,100.0,3,False
guni agrahara,guni agrahara,Guni Agrahara,unique,100.0,2,False
gunjur,gunjur,Gunjur,unique,100.0,21,False
gunjur palya,gunjur palya,Gunjur Palya,unique,100.0,10,False
hal 2nd stage,hal 2nd stage,HAL 2nd Stage,unique,100.0,11,False
hal 3rd stage,hal 3rd stage,HAL 3rd Stage,unique,100.0,2,False
hal layout,hal layout,HAL Layout,unique,100.0,1,False
hbr layout,hbr layout,HBR Layout,unique,100.0,20,False
hmt layout,hmt layout,HMT Layout,unique,100.0,5,False
hosur main road,hosur main road,HOSUR MAIN ROAD,unique,100.0,3,False
hosur rmain road,hosur rmain road,HOSUR RMAIN ROAD,unique,100.0,1,False
hrbr layout,hrbr layout,HRBR Layout,unique,100.0,19,False
hsr layout,hsr layout,HSR Layout,unique,100.0,41,False
hsr layout 7th sector,hsr layout 7th sector,"HSR Layout 7th sector,",unique,100.0,1,False
hadosiddapura,hadosiddapura,Hadosiddapura,unique,100.0,2,False
hagadur,hagadur,Hagadur,unique,100.0,3,False
hal old airport road,hal old airport road,Hal old airport road,unique,100.0,1,False
halanayakanahalli,halanayakanahalli,Halanayakanahalli,unique,100.0,1,False
hallehalli,hallehalli,Hallehalli,unique,100.0,2,False
handenahalli,handenahalli,Handenahalli,unique,100.0,1,False
hanumagiri,hanumagiri,Hanumagiri,unique,100.0,1,False
hanuman nagar,hanuman nagar,Hanuman Nagar,unique,100.0,1,False
hanumanth nagar,hanumanth nagar,Hanumanth Nagar,unique,100.0,4,False
hanumantha nagar,hanumantha nagar,Hanumantha Nagar,unique,100.0,3,False
haralur road,haralur road,Haralur Road,unique,100.0,103,False
harappanahalli,harappanahalli,Harappanahalli,unique,100.0,3,False
harlur,harlur,Harlur,unique,100.0,77,False
harohalli,harohalli,Harohalli,unique,100.0,2,False
harsha layout,harsha layout,Harsha Layout,unique,100.0,4,False
havanur extension,havanur extension,Havanur extension,unique,100.0,1,False
hebbal,hebbal,Hebbal,unique,100.0,161,False
hebbal kempapura,hebbal kempapura,Hebbal Kempapura,unique,100.0,33,False
hegde nagar,hegde nagar,Hegde Nagar,unique,100.0,48,False
hegganahalli,hegganahalli,Hegganahalli,unique,100.0,3,False
hennagara,hennagara,Hennagara,unique,100.0,2,False
hennur,hennur,Hennur,unique,100.0,49,False
hennur bande,hennur bande,Hennur Bande,unique,100.0,6,False
hennur busstop,hennur busstop,Hennur Busstop,unique,100.0,1,False
hennur gardens,hennur gardens,Hennur Gardens,unique,100.0,7,False
hennur road,hennur road,Hennur Road,unique,100.0,149,False
herohalli,herohalli,Herohalli,unique,100.0,4,False
hessarghatta,hessarghatta,Hessarghatta,unique,100.0,7,False
high grounds,high grounds,High grounds,unique,100.0,1,False
himagiri meadows,himagiri meadows,Himagiri Meadows,unique,100.0,3,False
hiremath layout,hiremath layout,Hiremath Layout,unique,100.0,5,False
hommadevanahalli,hommadevanahalli,Hommadevanahalli,unique,100.0,1,False
hongasandra,hongasandra,Hongasandra,unique,100.0,8,False
hoodi,hoodi,Hoodi,unique,100.0,88,False
hoodi circle,hoodi circle,"Hoodi Circle,",unique,100.0,7,False
hoodi layout,hoodi layout,Hoodi Layout,unique,100.0,2,False
horamavu agara,horamavu agara,Horamavu Agara,unique,100.0,41,False
horamavu banaswadi,horamavu banaswadi,Horamavu Banaswadi,unique,100.0,25,False
hormavu,hormavu,Hormavu,unique,100.0,73,False
hosa road,hosa road,Hosa Road,unique,100.0,70,False
hosahalli,hosahalli,Hosahalli,unique,100.0,1,False
hosahalli extension,hosahalli extension,Hosahalli Extension,unique,100.0,5,False
hosakerehalli,hosakerehalli,Hosakerehalli,unique,100.0,36,False
hosakerehalli layout,hosakerehalli layout,Hosakerehalli Layout,unique,100.0,2,False
hosapalya,hosapalya,Hosapalya,unique,100.0,3,False
hoskote,hoskote,Hoskote,unique,100.0,22,False
hoskote near,hoskote near,Hoskote near,unique,100.0,1,False
hosur road,hosur road,Hosur Road,unique,100.0,45,False
housing board layout vijay nagar,housing board layout vijay nagar,Housing Board Layout Vijay Nagar,unique,100.0,1,False
howthinarayanappa garden,howthinarayanappa garden,Howthinarayanappa Garden,unique,100.0,1,False
hoysalanagar,hoysalanagar,Hoysalanagar,unique,100.0,8,False
hsr layout sector3,hsr layout sector3,Hsr layout sector3,unique,100.0,1,False
hulimavu,hulimavu,Hulimavu,unique,100.0,52,False
hullahalli,hullahalli,Hullahalli,unique,100.0,1,False
hunasamaranahalli,hunasamaranahalli,Hunasamaranahalli,unique,100.0,2,False
huskur,huskur,Huskur,unique,100.0,8,False
huttanahalli,huttanahalli,Huttanahalli,unique,100.0,1,False
isro layout,isro layout,ISRO Layout,unique,100.0,12,False
iti employees layout,iti employees layout,ITI Employees Layout,unique,100.0,1,False
iti layout,iti layout,ITI Layout,unique,100.0,6,False
itpl,itpl,ITPL,unique,100.0,12,False
ivc road,ivc road,IVC Road,unique,100.0,1,False
iblur village,iblur village,Iblur Village,unique,100.0,23,False
iggalur,iggalur,Iggalur,unique,100.0,1,False
ilyas nagar,ilyas nagar,Ilyas Nagar,unique,100.0,3,False
immadihalli,immadihalli,Immadihalli,unique,100.0,4,False
indira nagar,indira nagar,Indira Nagar,unique,100.0,43,False
indira nagar 3rd stage,indira nagar 3rd stage,Indira Nagar 3rd Stage,unique,100.0,1,False
indira nagar stage 2,indira nagar stage 2,Indira Nagar Stage 2,unique,100.0,1,False
indiranagar hal 2nd stage,indiranagar hal 2nd stage,Indiranagar HAL 2nd Stage,unique,100.0,1,False
indra nagar,indra nagar,Indra Nagar,unique,100.0,2,False
indranagar 100ft road defence colony,indranagar 100ft road defence colony,Indranagar  100ft road defence colony,unique,100.0,1,False
infantry road,infantry road,Infantry Road,unique,100.0,2,False
ittamadu,ittamadu,Ittamadu,unique,100.0,9,False
j c nagar,j c nagar,J C Nagar,unique,100.0,3,False
j p nagar 7th phase ramayya city,j p nagar 7th phase ramayya city,J P Nagar 7th Phase Ramayya City,unique,100.0,1,False
j p nagar 6th phase sarakki nagar,j p nagar 6th phase sarakki nagar,J.P.nagar 6th Phase.Sarakki Nagar,unique,100.0,1,False
jcr layout,jcr layout,JCR Layout,unique,100.0,4,False
jp nagar,jp nagar,JP Nagar,unique,100.0,71,False
jp nagar 7th phase,jp nagar 7th phase,"JP Nagar 7th Phase,",unique,100.0,2,False
jp nagar 8th phase,jp nagar 8th phase,"JP Nagar 8th Phase,",unique,100.0,3,False
jp nagar 9th phase,jp nagar 9th phase,"JP nagar 9th Phase,",unique,100.0,1,False
jagadish nagar,jagadish nagar,Jagadish Nagar,unique,100.0,1,False
jagajyothi layout,jagajyothi layout,Jagajyothi layout,unique,100.0,1,False
jai bheema nagar,jai bheema nagar,Jai Bheema Nagar,unique,100.0,2,False
jakkasandra,jakkasandra,Jakkasandra,unique,100.0,1,False
jakkasandra extension,jakkasandra extension,Jakkasandra Extension,unique,100.0,5,False
jakkur,jakkur,Jakkur,unique,100.0,70,False
jakkur plantation,jakkur plantation,Jakkur Plantation,unique,100.0,9,False
jakkuryelahanka,jakkuryelahanka,JakkurYelahanka,unique,100.0,1,False
jakkuru layout,jakkuru layout,Jakkuru Layout,unique,100.0,3,False
jaladarsini layout,jaladarsini layout,Jaladarsini Layout,unique,100.0,1,False
jalahalli,jalahalli,Jalahalli,unique,100.0,49,False
jalahalli east,jalahalli east,Jalahalli East,unique,100.0,12,False
jalahalli west,jalahalli west,Jalahalli West,unique,100.0,8,False
janatha colony,janatha colony,Janatha Colony,unique,100.0,2,False
jaraganahalli jp nagar post,jaraganahalli jp nagar post,Jaraganahalli Jp Nagar Post,unique,100.0,1,False
javarandoddi,javarandoddi,Javarandoddi,unique,100.0,1,False
