Locality,Listings,Median Price (Lakhs INR),Median Rs per sqft,Tier
Kanakadasa Layout,1,95.0,7916.666666666667,Insufficient data (<10 listings)
T G extension,1,95.0,7916.666666666667,Insufficient data (<10 listings)
Gaurava Nagar,2,123.0,7915.4447702834805,Insufficient data (<10 listings)
Banjara Layout,11,70.0,7901.726427622842,Tier 1 - Premium
Chamundi Nagar,2,185.0,7892.857142857143,Insufficient data (<10 listings)
Cleveland Town,2,122.5,7881.717729784028,Insufficient data (<10 listings)
Cox Town,12,130.0,7846.242774566474,Tier 1 - Premium
Prasanna layout Herohalli,1,140.0,7777.777777777777,Insufficient data (<10 listings)
Marathalli bridge,1,120.0,7772.020725388601,Insufficient data (<10 listings)
R.T. Nagar,36,120.0,7762.8565196051695,Tier 1 - Premium
Lakshmiamma Garden,2,192.5,7750.0,Insufficient data (<10 listings)
Udaya Nagar,4,77.5,7750.0,Insufficient data (<10 listings)
Kirloskar Layout,4,88.5,7720.833333333334,Insufficient data (<10 listings)
Hennur Gardens,7,115.0,7718.120805369127,Insufficient data (<10 listings)
"EPIP AREA, WHITEFIELD",1,139.0,7717.9344808439755,Insufficient data (<10 listings)
Bhuvaneswari Nagar,3,75.0,7708.333333333333,Insufficient data (<10 listings)
Venkatapura,6,200.0,7686.063936063936,Insufficient data (<10 listings)
3rd Phase JP Nagar,3,270.0,7666.666666666667,Insufficient data (<10 listings)
4th Phase JP Nagar,4,54.45,7651.090342679127,Insufficient data (<10 listings)
Kuvempu Nagar,4,97.5,7647.907647907648,Insufficient data (<10 listings)
BEL Layout,1,105.0,7636.363636363636,Insufficient data (<10 listings)
Gandhi Nagar,1,80.0,7619.047619047619,Insufficient data (<10 listings)
Kothnur Narayanapura,3,99.0,7615.384615384615,Insufficient data (<10 listings)
OMBR Layout,19,93.0,7596.56652360515,Tier 1 - Premium
Siddapura,6,252.5,7562.67851475722,Insufficient data (<10 listings)
MRCR Layout,1,90.0,7556.675062972292,Insufficient data (<10 listings)
Manjunatha Layout,2,92.5,7516.025641025641,Insufficient data (<10 listings)
Bettadasanapura,1,90.0,7500.0,Insufficient data (<10 listings)
1st Block HBR Layout,3,150.0,7500.0,Insufficient data (<10 listings)
Ramesh Nagar,3,160.0,7500.0,Insufficient data (<10 listings)
"MEI layout, Bagalgunte",1,90.0,7500.0,Insufficient data (<10 listings)
2nd Phase JP Nagar,9,170.0,7500.0,Insufficient data (<10 listings)
Banashankari stage 2,1,77.25,7500.0,Insufficient data (<10 listings)
Nirman Layout,1,60.0,7500.0,Insufficient data (<10 listings)
Doddaballapur,11,195.0,7492.354740061162,Tier 1 - Premium
Vidya Nagar,1,280.0,7446.808510638298,Insufficient data (<10 listings)
Nagavarapalya,15,57.0,7446.808510638298,Tier 1 - Premium
Kundalahalli,46,105.0,7441.537539784476,Tier 1 - Premium
Laxmi Sagar Layout,4,155.0,7439.940840228644,Insufficient data (<10 listings)
Karuna Nagar,12,165.0,7418.90694239291,Tier 1 - Premium
Anjappa Layout,3,55.0,7418.39762611276,Insufficient data (<10 listings)
Old Airport Road,29,191.0,7397.769516728625,Tier 1 - Premium
Nagawara Junction,6,125.5,7386.729594669629,Insufficient data (<10 listings)
Thigalarapalya,48,150.5,7351.489862700625,Tier 1 - Premium
Wheelers Road,1,68.0,7351.351351351352,Insufficient data (<10 listings)
Cholanayakanahalli,7,95.0,7307.692307692308,Insufficient data (<10 listings)
Brindavan Nagar,3,111.0,7302.631578947368,Insufficient data (<10 listings)
Kamakya Layout,3,150.0,7272.727272727273,Insufficient data (<10 listings)
Kuvempu Layout,1,160.0,7272.727272727273,Insufficient data (<10 listings)
Iblur Village,23,235.0,7264.296754250387,Tier 1 - Premium
Bennigana Halli,1,145.0,7250.0,Insufficient data (<10 listings)
Bhoopsandra,2,152.5,7246.1712989222915,Insufficient data (<10 listings)
Jogupalya,1,130.0,7222.222222222223,Insufficient data (<10 listings)
KHB Colony Extension,1,65.0,7222.222222222223,Insufficient data (<10 listings)
Hebbal,161,113.0,7211.8959107806695,Tier 1 - Premium
"Yemlur, Old Airport Road,",1,115.0,7210.031347962383,Insufficient data (<10 listings)
1 Giri Nagar,1,360.0,7200.0,Insufficient data (<10 listings)
Jnana Ganga Nagar,3,81.0,7196.969696969697,Insufficient data (<10 listings)
Ashwini layout,3,60.0,7194.244604316546,Insufficient data (<10 listings)
Papareddipalya,1,115.0,7187.5,Insufficient data (<10 listings)
Vivek Nagar,2,145.0,7166.666666666666,Insufficient data (<10 listings)
Vasanthpura,2,49.91,7166.41541038526,Insufficient data (<10 listings)
Arekempanahalli,1,110.0,7156.79895901106,Insufficient data (<10 listings)
Kanaka Nagar,8,94.5,7144.03227277858,Insufficient data (<10 listings)
Challaghatta,2,112.0,7143.825925405383,Insufficient data (<10 listings)
2nd Block Hrbr Layout,7,110.0,7096.774193548387,Insufficient data (<10 listings)
Banashankari3rd stage bigbazar,1,125.0,7094.211123723042,Insufficient data (<10 listings)
Bendiganahalli,2,122.5,7083.333333333334,Insufficient data (<10 listings)
Shirdi Sai Nagar,1,85.0,7083.333333333333,Insufficient data (<10 listings)
Dasappa Layout,3,85.0,7083.333333333333,Insufficient data (<10 listings)
Jinkethimmanahalli,3,85.0,7083.333333333333,Insufficient data (<10 listings)
Kamala Nagar,4,61.5,7071.428571428572,Insufficient data (<10 listings)
Venkatadri Layout,3,42.0,7058.823529411765,Insufficient data (<10 listings)
Shivaji Nagar,13,90.0,7041.251778093883,Tier 1 - Premium
Sneha Colony,2,77.5,7023.809523809525,Insufficient data (<10 listings)
Outer Ring Road East,7,110.0,7011.686143572621,Insufficient data (<10 listings)
Rahmath Nagar,1,98.0,7000.0,Insufficient data (<10 listings)
Laggere,12,117.5,6995.967741935484,Tier 1 - Premium
Vaderahalli,2,142.5,6987.577639751553,Insufficient data (<10 listings)
Green Domain Layout,2,122.5,6977.306547619048,Insufficient data (<10 listings)
Vijay Nagar,1,160.0,6956.521739130435,Insufficient data (<10 listings)
Dooravani Nagar,4,110.0,6951.894066376131,Insufficient data (<10 listings)
Nagarbhavi,60,88.5,6933.333333333334,Tier 1 - Premium
KG Halli,1,26.0,6933.333333333333,Insufficient data (<10 listings)
Bagalur Main Road,4,186.0,6928.092399403875,Insufficient data (<10 listings)
Nanjappa Garden,2,130.0,6924.304605563156,Insufficient data (<10 listings)
Mukkutam Nagar,1,180.0,6923.076923076923,Insufficient data (<10 listings)
HRBR Layout,19,98.0,6923.076923076923,Tier 1 - Premium
Deepanjali Nagar,1,160.0,6896.551724137931,Insufficient data (<10 listings)
Sanjay nagar,20,85.0,6889.830508474576,Tier 1 - Premium
Masjid e Alkareem,1,62.0,6888.888888888889,Insufficient data (<10 listings)
J.P.nagar 6th Phase.Sarakki Nagar,1,185.0,6877.323420074349,Insufficient data (<10 listings)
Prakash Nagar,1,55.0,6875.0,Insufficient data (<10 listings)
Uday Nagar,2,97.5,6875.0,Insufficient data (<10 listings)
6th Phase JP Nagar,23,88.0,6875.0,Tier 1 - Premium
sankeswari,1,31.7,6864.146204148803,Insufficient data (<10 listings)
Mango Garden Layout,1,125.0,6853.070175438596,Insufficient data (<10 listings)
Teachers Colony,2,158.5,6851.851851851852,Insufficient data (<10 listings)
Surabhi Layout,3,120.0,6845.407872219053,Insufficient data (<10 listings)
Sampige Layout,1,90.0,6844.106463878327,Insufficient data (<10 listings)
Classic Paradise Layout,2,99.0,6837.518542063997,Insufficient data (<10 listings)
Singena Agrahara,4,105.0,6833.333333333334,Insufficient data (<10 listings)
Ullal Uppanagar,3,82.0,6833.333333333333,Insufficient data (<10 listings)
KR Garden,5,65.0,6810.810810810811,Insufficient data (<10 listings)
Byatarayanapura,7,75.0,6792.452830188679,Insufficient data (<10 listings)
Pampa Extension,3,80.0,6791.171477079796,Insufficient data (<10 listings)
Sathanur,1,110.0,6790.123456790124,Insufficient data (<10 listings)
Byrathi Village,6,75.0,6785.320088300221,Insufficient data (<10 listings)
MS Pallya,8,100.0,6770.356396267782,Insufficient data (<10 listings)
"Banasawadi,",1,156.0,6747.404844290658,Insufficient data (<10 listings)
RK Layout 2nd Stage,1,77.5,6739.130434782609,Insufficient data (<10 listings)
"TR Mill Road, Chamarajpet",1,79.0,6723.404255319149,Insufficient data (<10 listings)
Govindapura,3,65.0,6717.557251908397,Insufficient data (<10 listings)
RR Layout,2,128.0,6717.086834733893,Insufficient data (<10 listings)
7th Phase JP Nagar,135,82.5,6703.91061452514,Tier 1 - Premium
Hennagara,2,74.0,6701.093560145808,Insufficient data (<10 listings)
Mylasandra,4,65.5,6699.6996996997,Insufficient data (<10 listings)
EPIP Zone,23,125.0,6696.428571428572,Tier 1 - Premium
T R Mill Road,1,82.0,6693.877551020408,Insufficient data (<10 listings)
Banashankari Stage III,25,118.0,6690.140845070423,Tier 1 - Premium
Vijayanagar,42,97.5,6681.550642936308,Tier 1 - Premium
Hegde Nagar,48,122.5,6673.672921142565,Tier 1 - Premium
Nrupathunga Nagar,1,80.0,6666.666666666667,Insufficient data (<10 listings)
Vishwapriya Nagar,5,71.0,6666.666666666667,Insufficient data (<10 listings)
Kalhalli,1,160.0,6666.666666666667,Insufficient data (<10 listings)
BTM 4th Stage,3,58.0,6666.666666666667,Insufficient data (<10 listings)
Chikkaballapur,1,100.0,6666.666666666667,Insufficient data (<10 listings)
Kenchenhalli,3,79.99,6666.666666666667,Insufficient data (<10 listings)
Rajagopala Nagar,1,40.0,6666.666666666667,Insufficient data (<10 listings)
Lal Bahadur Shastri Nagar,2,116.5,6657.904984423676,Insufficient data (<10 listings)
Sathya Layout,3,100.0,6648.936170212766,Insufficient data (<10 listings)
Amblipura,6,124.0,6647.179691124809,Insufficient data (<10 listings)
Esther Enclave Layout,3,68.0,6600.0,Insufficient data (<10 listings)
Harlur,77,100.0,6599.832915622389,Tier 1 - Premium
Ambedkar Nagar,29,125.0,6596.491228070176,Tier 1 - Premium
Dwarka Nagar,2,110.375,6593.75,Insufficient data (<10 listings)
Green Glen Layout,39,115.0,6591.957811470006,Tier 1 - Premium
Anand Nagar,8,100.0,6581.6749585406305,Insufficient data (<10 listings)
Rajiv Nagar,12,127.0,6581.196581196582,Tier 1 - Premium
Gokula Extension,3,90.0,6559.766763848396,Insufficient data (<10 listings)
Vidyaranyapura,41,70.0,6545.454545454545,Tier 1 - Premium
Lingadheeranahalli,23,113.0,6535.9477124183,Tier 1 - Premium
Williams Town,1,98.0,6533.333333333333,Insufficient data (<10 listings)
Ejipura,9,95.0,6521.739130434783,Insufficient data (<10 listings)
banashankari stage iii sa,1,91.72,6500.3543586109145,Insufficient data (<10 listings)
Ganga Nagar Extension,1,65.0,6500.0,Insufficient data (<10 listings)
Kurubarahalli,5,69.0,6500.0,Insufficient data (<10 listings)
Maruthi nagar kogilu,1,78.0,6500.0,Insufficient data (<10 listings)
Manonarayanapalya,1,52.0,6500.0,Insufficient data (<10 listings)
New Gurappana Palya,5,106.0,6500.0,Insufficient data (<10 listings)
Lakshminarayana Pura,36,75.0,6482.591691973241,Tier 1 - Premium
Prithvi Layout,13,93.0,6471.89349112426,Tier 1 - Premium
Sultan Palaya,14,72.5,6471.010901883053,Tier 1 - Premium
Bannerghatta,18,80.1,6447.957391353618,Tier 1 - Premium
BTM 2nd Stage,29,80.0,6428.571428571428,Tier 1 - Premium
Ganga Nagar,10,65.0,6421.1045364891515,Tier 1 - Premium
Chowdeshwari Layout,1,80.0,6400.0,Insufficient data (<10 listings)
Jakkur Plantation,9,115.0,6399.069226294358,Insufficient data (<10 listings)
Jakkasandra,1,102.0,6375.0,Insufficient data (<10 listings)
Rajankunte,2,235.0,6359.669861866407,Insufficient data (<10 listings)
Jalahalli,49,89.75,6349.206349206349,Tier 1 - Premium
Shanthi Layout,2,81.0,6346.55070754717,Insufficient data (<10 listings)
Thirupalya,1,65.0,6341.463414634146,Insufficient data (<10 listings)
Doddanekundi,6,106.5,6334.967584743958,Insufficient data (<10 listings)
Sahakara Nagar,37,80.0,6333.333333333333,Tier 1 - Premium
Tumkur Road,33,79.0,6333.333333333333,Tier 1 - Premium
SHANTHINAGAR,1,95.0,6333.333333333333,Insufficient data (<10 listings)
Badavala Nagar,6,92.275,6328.647925033467,Insufficient data (<10 listings)
Kodanda Reddy Layout,1,105.0,6325.301204819277,Insufficient data (<10 listings)
Tasker Town,3,60.0,6315.789473684211,Insufficient data (<10 listings)
"JP Nagar 7th Phase,",2,83.5,6311.203679597327,Insufficient data (<10 listings)
Medi Agrahara,1,85.0,6296.2962962962965,Insufficient data (<10 listings)
Vinayaka Layout,1,170.0,6296.2962962962965,Insufficient data (<10 listings)
"ravindra nagar, T.dasarahalli peenya",1,74.0,6271.186440677966,Insufficient data (<10 listings)
Medaralli,1,84.0,6250.0,Insufficient data (<10 listings)
Rustam Bagh Layout,5,86.0,6250.0,Insufficient data (<10 listings)
"Banashankari 3rd stage, Vivekanandanagar",1,100.0,6250.0,Insufficient data (<10 listings)
Zuzuvadi,1,75.0,6250.0,Insufficient data (<10 listings)
Bidadi,3,110.0,6250.0,Insufficient data (<10 listings)
Ittamadu,9,95.0,6250.0,Insufficient data (<10 listings)
Sadduguntepalya,1,75.0,6250.0,Insufficient data (<10 listings)
Lakshmipura,3,75.0,6250.0,Insufficient data (<10 listings)
Ramanagara Channapatna,1,75.0,6250.0,Insufficient data (<10 listings)
Nagasandra,12,120.0,6247.619047619048,Tier 1 - Premium
Meenakunte,6,252.5,6245.750924661165,Insufficient data (<10 listings)
Balagere,44,65.0,6240.50618005974,Tier 1 - Premium
Kaikondrahalli,17,78.0,6240.0,Tier 1 - Premium
Agara Village,1,120.0,6233.766233766234,Insufficient data (<10 listings)
Jakkur,70,99.2425,6227.325581395349,Tier 1 - Premium
Srinivasa Nagar,6,76.97,6205.555555555555,Insufficient data (<10 listings)
Garden Layout,1,93.93,6200.0,Insufficient data (<10 listings)
Sector 2 HSR Layout,16,77.5,6196.821821821823,Tier 1 - Premium
Sunder Ram Shetty Nagar,2,94.5,6185.897435897436,Insufficient data (<10 listings)
RPC layout,3,68.0,6181.818181818182,Insufficient data (<10 listings)
Sundar Ram Shetty Nagar,1,85.0,6181.818181818182,Insufficient data (<10 listings)
Billapura,1,110.0,6179.775280898876,Insufficient data (<10 listings)
Junnasandra,1,240.0,6179.196704428425,Insufficient data (<10 listings)
Javarandoddi,1,40.0,6172.83950617284,Insufficient data (<10 listings)
Hoodi Layout,2,81.5,6166.091954022989,Insufficient data (<10 listings)
Varsova Layout,4,175.0,6148.4375,Insufficient data (<10 listings)
Tala Cauvery Layout,4,88.5,6125.722010569006,Insufficient data (<10 listings)
Shirdi Sai Layout,2,78.815,6117.9885057471265,Insufficient data (<10 listings)
Kodipalya,3,72.0,6111.111111111111,Insufficient data (<10 listings)
Kasturi Nagar,16,90.25,6088.619440498484,Tier 1 - Premium
Vibhutipura Extension,2,73.5,6085.034013605442,Insufficient data (<10 listings)
B Channasandra,3,79.0,6076.923076923077,Insufficient data (<10 listings)
Kumbalgodu,2,137.5,6075.0,Insufficient data (<10 listings)
Dodsworth Layout,10,107.0,6073.22088898951,Tier 2 - Mid-market
Thubarahalli,22,79.275,6066.814764183186,Tier 2 - Mid-market
Panathur,49,75.0,6051.437216338881,Tier 2 - Mid-market
Chikkakannalli,2,87.5,6041.417182333886,Insufficient data (<10 listings)
ISRO Layout,12,121.0,6035.714285714286,Tier 2 - Mid-market
Nandi Hills,2,245.0,6025.0,Insufficient data (<10 listings)
Virudhu Nagar,1,68.0,6017.699115044248,Insufficient data (<10 listings)
Banashankari 6th Stage,1,80.0,6015.037593984963,Insufficient data (<10 listings)
Jagadish Nagar,1,88.0,6006.825938566553,Insufficient data (<10 listings)
ITI Layout,6,83.63499999999999,6001.797863258918,Insufficient data (<10 listings)
Kadugondanahalli,5,60.0,6000.0,Insufficient data (<10 listings)
Suragajakkanahalli,1,72.0,6000.0,Insufficient data (<10 listings)
Gokaula Extension,1,90.0,6000.0,Insufficient data (<10 listings)
Maheswari Nagar,1,60.0,6000.0,Insufficient data (<10 listings)
Jakkasandra Extension,5,63.0,6000.0,Insufficient data (<10 listings)
Malimakanapura,1,70.0,5993.1506849315065,Insufficient data (<10 listings)
Dodda Nekkundi Extension,8,88.25,5988.765575486443,Insufficient data (<10 listings)
Brookefield,47,85.0,5985.915492957746,Tier 2 - Mid-market
Talaghattapura,36,120.0,5983.849361332805,Tier 2 - Mid-market
Maruthi Sevanagar,7,115.0,5980.0,Insufficient data (<10 listings)
RBI Layout,1,87.0,5958.904109589041,Insufficient data (<10 listings)
1st Stage Indira Nagar,5,67.0,5957.446808510638,Insufficient data (<10 listings)
Gopalkrishna Nagar,8,75.0,5955.165207006369,Insufficient data (<10 listings)
Banashankari,71,80.0,5952.380952380952,Tier 2 - Mid-market
Chikka Banaswadi,3,73.0,5946.935041171088,Insufficient data (<10 listings)
6th Block Rajaji Nagar,1,190.0,5937.5,Insufficient data (<10 listings)
Bhoganhalli,43,90.2,5928.143712574851,Tier 2 - Mid-market
Devarabisanahalli,1,80.0,5925.925925925926,Insufficient data (<10 listings)
JP Nagar,71,90.0,5925.925925925926,Tier 2 - Mid-market
"Banashankari 6th Stage ,Subramanyapura",1,100.0,5917.15976331361,Insufficient data (<10 listings)
"ECC Road, Whitefield,",2,80.0,5911.744909978126,Insufficient data (<10 listings)
Dinnur,3,97.0,5909.090909090909,Insufficient data (<10 listings)
Hennur Road,149,84.0,5900.383141762452,Tier 2 - Mid-market
Rajasree Layout,2,80.0,5899.903236211159,Insufficient data (<10 listings)
Hosur Road,44,91.5,5889.447236180904,Tier 2 - Mid-market
Ambalipura,26,80.0,5887.034092916446,Tier 2 - Mid-market
Kempegowda Nagar,2,101.5,5886.003125266929,Insufficient data (<10 listings)
Chikkajala,1,50.0,5882.35294117647,Insufficient data (<10 listings)
Peenya,9,55.0,5882.35294117647,Insufficient data (<10 listings)
T.C PALYA,10,70.0,5872.549019607843,Tier 2 - Mid-market
Badrappa Layout,1,88.0,5866.666666666667,Insufficient data (<10 listings)
Kadubeesanahalli,13,78.0,5860.805860805861,Tier 2 - Mid-market
Prestige Sunrise,1,41.0,5857.142857142857,Insufficient data (<10 listings)
Medahalli,9,70.0,5857.142857142857,Insufficient data (<10 listings)
St Thomas Town,1,62.0,5849.056603773585,Insufficient data (<10 listings)
Ferrar Nagar,3,125.0,5847.457627118644,Insufficient data (<10 listings)
"Whietfield,",1,98.0,5843.768634466309,Insufficient data (<10 listings)
Billekahalli,18,76.5,5836.25730994152,Tier 2 - Mid-market
Anekal - Hosur Road,1,140.0,5833.333333333333,Insufficient data (<10 listings)
Karnataka Shabarimala,1,70.0,5833.333333333333,Insufficient data (<10 listings)
Kithaganur,3,62.0,5833.333333333333,Insufficient data (<10 listings)
Jayanti Nagar,3,70.0,5833.333333333333,Insufficient data (<10 listings)
Kodbisanhalli,8,66.0,5830.0395256917,Insufficient data (<10 listings)
Kannamangala,18,77.0,5822.945239028213,Tier 2 - Mid-market
Sarjapur  Road,384,85.0,5818.273658490743,Tier 2 - Mid-market
Marsur,10,49.0,5815.090543259557,Tier 2 - Mid-market
Rajiv Gandhi Nagar,5,75.0,5800.46403712297,Insufficient data (<10 listings)
Whitefield ECC Road,1,71.05,5800.0,Insufficient data (<10 listings)
Devanahalli Int. Airport,3,80.0,5797.101449275362,Insufficient data (<10 listings)
2nd Block Hbr Layout,1,55.0,5789.473684210527,Insufficient data (<10 listings)
Amam Enclave Layout,2,57.5,5782.013314096235,Insufficient data (<10 listings)
Basavanna Nagar,4,92.5,5775.075987841945,Insufficient data (<10 listings)
Thanisandra,232,73.0,5771.645038586165,Tier 2 - Mid-market
Vibuthipura,2,102.5,5759.404604738209,Insufficient data (<10 listings)
AMS Layout,4,80.0,5757.575757575758,Insufficient data (<10 listings)
Padmanabhanagar,28,75.0,5754.545454545454,Tier 2 - Mid-market
Vishveshwarya Layout,13,95.0,5750.0,Tier 2 - Mid-market
P Krishnappa Layout,1,77.0,5746.268656716418,Insufficient data (<10 listings)
Dena Bank Colony,2,69.75,5727.566825697667,Insufficient data (<10 listings)
Narayanapura,10,87.02000000000001,5725.7627898272785,Tier 2 - Mid-market
Old Madras Road,67,100.0,5720.053835800808,Tier 2 - Mid-market
Ardendale,23,100.0,5714.285714285715,Tier 2 - Mid-market
Hoodi,88,81.03,5709.491850431448,Tier 2 - Mid-market
Hennur Busstop,1,62.7,5700.0,Insufficient data (<10 listings)
Nayandanahalli,6,86.0,5690.428897226513,Insufficient data (<10 listings)
Near International Airport,2,103.0,5676.691729323308,Insufficient data (<10 listings)
Vijaya Bank Layout,7,85.0,5666.666666666667,Insufficient data (<10 listings)
Banashankari Stage I,1,170.0,5666.666666666667,Insufficient data (<10 listings)
"Panathur Road,",1,53.0,5662.393162393162,Insufficient data (<10 listings)
2nd Block Bel Layout,2,92.0,5661.538461538462,Insufficient data (<10 listings)
Kasavanhalli,78,81.0,5654.3990630947155,Tier 2 - Mid-market
Vajarahalli,8,79.5,5648.211437685122,Insufficient data (<10 listings)
Haralur Road,103,83.05,5645.1612903225805,Tier 2 - Mid-market
Ncpr Industrial Layout,1,72.5,5642.023346303502,Insufficient data (<10 listings)
Naidu Layout,2,79.5,5626.262626262626,Insufficient data (<10 listings)
Canara Bank Layout,3,90.0,5625.0,Insufficient data (<10 listings)
Bagalur,5,57.0,5625.0,Insufficient data (<10 listings)
Kavika Layout,3,101.0,5614.230127848805,Insufficient data (<10 listings)
Whitefield,524,75.5,5608.915223767623,Tier 2 - Mid-market
basaveshwarnagar,1,70.0,5600.0,Insufficient data (<10 listings)
Madavara,2,41.0,5589.869281045751,Insufficient data (<10 listings)
PNS Layout,1,65.0,5574.614065180103,Insufficient data (<10 listings)
Remco Bhel Layout,2,83.0,5559.176922702729,Insufficient data (<10 listings)
Vishwanatha Nagenahalli,9,110.0,5558.12876331635,Insufficient data (<10 listings)
Doddanakunte,1,150.0,5555.555555555556,Insufficient data (<10 listings)
Veerabhadra Nagar,1,100.0,5555.555555555556,Insufficient data (<10 listings)
Yelachenahalli,20,75.75,5548.872180451128,Tier 2 - Mid-market
Viswajit Layout,1,61.0,5545.454545454545,Insufficient data (<10 listings)
Vijinapura,2,81.905,5539.059091120085,Insufficient data (<10 listings)
Tigalarpalya,2,88.5,5536.623580101841,Insufficient data (<10 listings)
Kaverappa Layout,9,70.0,5533.596837944664,Insufficient data (<10 listings)
TC Palaya,45,66.0,5533.333333333333,Tier 2 - Mid-market
Gubbalala,26,86.5,5530.64710747163,Tier 2 - Mid-market
Yeshwanthpur,83,85.0,5525.525525525525,Tier 2 - Mid-market
Chennammanakere Achukattu,2,63.5,5525.210084033613,Insufficient data (<10 listings)
Bhattarahalli,1,50.0,5524.861878453039,Insufficient data (<10 listings)
Sonam Layout,1,50.0,5524.861878453039,Insufficient data (<10 listings)
Bikasipura,4,168.5,5514.553463465192,Insufficient data (<10 listings)
Marathahalli,169,76.0,5514.40329218107,Tier 2 - Mid-market
BEML Layout,10,85.0,5513.609715242881,Tier 2 - Mid-market
Hulimavu,52,71.75,5513.427060986822,Tier 2 - Mid-market
Raghavendra Layout,2,89.5,5511.018645198494,Insufficient data (<10 listings)
Nallurhalli,8,66.5,5505.92885375494,Insufficient data (<10 listings)
3rd Phase Iti Layout,1,63.0,5502.183406113537,Insufficient data (<10 listings)
Venugopal Reddy Layout,3,69.0,5501.6181229773465,Insufficient data (<10 listings)
Kathriguppe,19,76.45,5500.401606425703,Tier 2 - Mid-market
Nagaraja Garden,4,78.65,5500.000000000001,Insufficient data (<10 listings)
BTM Layout,17,78.0,5478.260869565217,Tier 2 - Mid-market
JakkurYelahanka,1,75.0,5474.4525547445255,Insufficient data (<10 listings)
Subramanyapura,40,62.605000000000004,5469.577841883967,Tier 2 - Mid-market
Bellandur,94,75.5,5466.717151411296,Tier 2 - Mid-market
Tharabanahalli,1,240.0,5460.750853242321,Insufficient data (<10 listings)
Ramamurthy Nagar,72,65.0,5448.618307426597,Tier 2 - Mid-market
Carmelaram,4,95.42750000000001,5447.5481204294765,Insufficient data (<10 listings)
Coffee Board Layout,3,90.0,5446.293494704993,Insufficient data (<10 listings)
RMV Extension Stage 2,2,140.0,5444.563790428452,Insufficient data (<10 listings)
Margondanahalli,25,65.0,5444.444444444444,Tier 2 - Mid-market
Shetty Halli,2,291.0,5437.5,Insufficient data (<10 listings)
Nagadevanahalli,10,75.0,5433.467741935484,Tier 2 - Mid-market
HSR Layout,41,70.0,5428.571428571428,Tier 2 - Mid-market
Kalyan nagar,19,75.0,5425.709515859767,Tier 2 - Mid-market
Attur Layout,5,150.0,5416.666666666667,Insufficient data (<10 listings)
Bande Nallasandra,1,130.0,5416.666666666667,Insufficient data (<10 listings)
Akshya Nagar,5,75.0,5416.666666666667,Insufficient data (<10 listings)
Adugodi,1,65.0,5412.156536219817,Insufficient data (<10 listings)
Brooke Bond First Cross,4,81.0,5407.79984277267,Insufficient data (<10 listings)
Kudlu Gate,37,78.0,5407.166123778502,Tier 2 - Mid-market
Banaswadi,18,73.0,5397.8732710076,Tier 2 - Mid-market
Hommadevanahalli,1,50.0,5393.743257820927,Insufficient data (<10 listings)
Pattanagere,4,77.5,5392.156862745098,Insufficient data (<10 listings)
Kundalahalli Colony,7,95.0,5390.625,Insufficient data (<10 listings)
Friends Colony,2,59.5,5386.473429951691,Insufficient data (<10 listings)
BCMC Layout,2,80.0,5379.656683710738,Insufficient data (<10 listings)
Unknown,1,86.0,5375.0,Insufficient data (<10 listings)
Sabari Nagar,1,60.0,5357.142857142857,Insufficient data (<10 listings)
Akshayanagara East,8,68.81,5353.464926359773,Insufficient data (<10 listings)
Hosa Road,70,69.725,5350.417002959376,Tier 2 - Mid-market
Bannerghatta Road,148,73.0,5339.263600176913,Tier 2 - Mid-market
Sunkadakatte,5,80.0,5333.333333333333,Insufficient data (<10 listings)
PC Palaya,1,48.0,5333.333333333333,Insufficient data (<10 listings)
Nagashetty Halli,5,93.0,5333.333333333333,Insufficient data (<10 listings)
Jigani,52,58.0,5330.597977656802,Tier 2 - Mid-market
Ashwath Nagar,13,84.0,5327.868852459016,Tier 2 - Mid-market
Air View Colony,1,58.5,5318.181818181818,Insufficient data (<10 listings)
Kenchenahalli,16,59.0,5304.008152173913,Tier 2 - Mid-market
Shettigere,3,35.0,5303.030303030303,Insufficient data (<10 listings)
Konena Agrahara,3,57.0,5302.325581395349,Insufficient data (<10 listings)
Shampura,13,75.0,5288.135593220339,Tier 2 - Mid-market
Off Bannergatta road,2,101.0,5281.991578595131,Insufficient data (<10 listings)
Garebhavipalya,2,65.0,5281.862745098039,Insufficient data (<10 listings)
Avalahalli,5,108.0,5281.173594132029,Insufficient data (<10 listings)
Billamaranahalli,2,102.5,5277.777777777777,Insufficient data (<10 listings)
Somasundara Palya,27,70.0,5267.11813393529,Tier 2 - Mid-market
Bhuvaneshwari Nagar,6,53.5,5265.909090909091,Insufficient data (<10 listings)
Kaggalipura,19,57.5,5263.1578947368425,Tier 2 - Mid-market
Hosakerehalli Layout,2,89.5,5262.9629629629635,Insufficient data (<10 listings)
Devi Nagar,5,68.0,5250.0,Insufficient data (<10 listings)
HMT Layout,5,80.0,5248.868778280543,Insufficient data (<10 listings)
Jalahalli East,12,55.0,5240.924092409241,Tier 2 - Mid-market
Udayagiri,1,60.0,5240.174672489083,Insufficient data (<10 listings)
Tindlu,11,65.0,5238.0952380952385,Tier 2 - Mid-market
LB Shastri Nagar,11,62.0,5236.486486486487,Tier 2 - Mid-market
Kempapura,2,152.5,5226.342129208371,Insufficient data (<10 listings)
Shantiniketan Layout,6,111.5,5226.1038054395995,Insufficient data (<10 listings)
Arekere,16,77.5,5226.1038054395995,Tier 2 - Mid-market
